,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
1,Jordan Adams,Nov 3 '14 MEM vs. NOP,20,1,30,248,35,86,10,25,14,23,9,28,16,16,7,14,24,94,0.407,0.4,0.609,8.3,3.1,0.9,0.5,adamsjo01
2,Furkan Aldemir,Dec 15 '14 PHI vs. BOS,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,0.513,0,0.481,13.2,2.3,4.3,0.7,aldemfu01
3,Kyle Anderson,Nov 6 '14 SAS @ HOU,21,1,33,358,31,89,3,11,9,14,5,72,28,15,7,10,28,74,0.348,0.273,0.643,10.8,2.2,2.2,0.8,anderky01
4,Cameron Bairstow,Oct 29 '14 CHI @ NYK,24,1,18,64,3,14,0,0,4,5,6,8,1,2,1,3,8,10,0.214,,0.8,3.6,0.6,0.4,0.1,bairsca01
5,Jerrelle Benimon,Mar 10 '15 UTA vs. NYK,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0,1.5,0,benimje01
6,Sim Bhullar,Apr 7 '15 SAC vs. MIN,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,0.5,,,1,0.7,0.3,0.3,bhullsi01
7,Tarik Black,Oct 28 '14 HOU @ LAL,23,1,63,1196,157,273,0,1,65,118,142,368,42,19,24,48,158,379,0.575,0,0.551,19,6,5.8,0.7,blackta01
8,Bojan Bogdanović,Oct 29 '14 BRK @ BOS,25,1,78,1854,261,576,91,256,87,106,50,213,68,34,9,78,104,700,0.453,0.355,0.821,23.8,9,2.7,0.9,bogdabo02
9,Jabari Brown,Mar 12 '15 LAL vs. NYK,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,0.412,0.371,0.753,29.9,11.9,1.9,2.1,brownja01
10,Markel Brown,Nov 22 '14 BRK @ SAS,23,1,47,781,76,210,17,64,47,57,16,107,39,31,12,27,57,216,0.362,0.266,0.825,16.6,4.6,2.3,0.8,brownma02
11,Bruno Caboclo,Nov 21 '14 TOR vs. MIL,19,1,8,23,4,12,2,3,0,0,1,2,0,0,1,4,3,10,0.333,0.667,,2.9,1.3,0.3,0,cabocbr01
12,Clint Capela,Nov 6 '14 HOU vs. SAS,20,1,12,90,14,29,0,0,4,23,10,36,2,1,9,5,14,32,0.483,,0.174,7.5,2.7,3,0.2,capelca01
13,Will Cherry,Nov 7 '14 CLE @ DEN,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,0.263,0.222,0.5,8.6,1.9,0.6,1,cherrwi01
14,Patrick Christopher,Dec 27 '14 UTA vs. PHI,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,0.25,0,,7.3,1.5,1.5,0,chrispa01
15,Jordan Clarkson,Oct 28 '14 LAL vs. HOU,22,1,59,1476,267,596,38,121,131,158,56,191,206,51,12,96,109,703,0.448,0.314,0.829,25,11.9,3.2,3.5,clarkjo01
16,Jack Cooley,Feb 27 '15 UTA @ DEN,23,1,16,87,9,22,0,0,9,21,10,25,1,6,3,3,23,27,0.409,,0.429,5.4,1.7,1.6,0.1,cooleja01
17,Bryce Cotton,Feb 27 '15 UTA @ DEN,22,1,15,159,29,69,7,20,15,18,3,18,15,4,0,12,6,80,0.42,0.35,0.833,10.6,5.3,1.2,1,cottobr01
18,Andre Dawkins,Nov 1 '14 MIA @ PHI,23,1,4,22,1,6,1,6,0,0,0,2,1,0,0,1,3,3,0.167,0.167,,5.5,0.8,0.5,0.3,dawkian01
19,Spencer Dinwiddie,Oct 29 '14 DET @ DEN,21,1,34,455,51,169,12,65,31,34,4,48,104,19,6,33,53,145,0.302,0.185,0.912,13.4,4.3,1.4,3.1,dinwisp01
