,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Santi Aldama\aldamsa01,Oct 27 '21 MEM @ POR,21,1,32,360,53,132,6,48,20,32,33,87,21,6,10,16,36,132,.402,.125,.625,11.3,4.1,2.7,0.7
2,Jose Alvarado\alvarjo01,Nov 3 '21 NOP @ SAC,23,1,54,834,131,294,32,110,36,53,25,100,152,71,7,40,73,330,.446,.291,.679,15.4,6.1,1.9,2.8
3,Joel Ayayi\ayayijo01,Oct 25 '21 WAS @ BRK,21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6
4,Dalano Banton\bantoda01,Oct 20 '21 TOR vs. WAS,22,1,64,696,83,202,13,51,26,44,38,124,99,28,10,53,68,205,.411,.255,.591,10.9,3.2,1.9,1.5
5,Cat Barber\barbeca01,Dec 25 '21 ATL @ NYK,27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0
6,Scottie Barnes\barnesc01,Oct 20 '21 TOR vs. WAS,20,1,74,2617,459,932,58,193,158,215,195,557,256,80,55,136,192,1134,.492,.301,.735,35.4,15.3,7.5,3.5
7,Paris Bass\basspa01,Jan 2 '22 PHO @ CHO,26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0
8,Charles Bassey\bassech01,Oct 20 '21 PHI @ NOP,21,1,23,168,30,47,0,4,9,12,22,62,7,5,17,8,32,69,.638,.000,.750,7.3,3.0,2.7,0.3
9,Leandro Bolmaro\bolmale01,Oct 20 '21 MIN vs. HOU,21,1,35,241,17,54,5,18,11,13,16,43,21,6,0,13,26,50,.315,.278,.846,6.9,1.4,1.2,0.6
10,Brandon Boston Jr.\bostobr01,Oct 25 '21 LAC vs. POR,20,1,51,760,125,325,34,111,59,72,17,111,51,26,13,31,43,343,.385,.306,.819,14.9,6.7,2.2,1.0
11,James Bouknight\bouknja01,Oct 22 '21 CHO @ CLE,21,1,31,304,49,141,17,49,27,31,22,52,26,7,1,15,29,142,.348,.347,.871,9.8,4.6,1.7,0.8
12,Chaundee Brown Jr.\brownch05,Dec 17 '21 LAL @ MIN,23,1,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833,20.8,6.2,3.2,0.8
13,Greg Brown III\browngr01,Oct 23 '21 POR vs. PHO,20,1,48,640,81,190,19,61,44,65,38,135,35,26,24,36,90,225,.426,.311,.677,13.3,4.7,2.8,0.7
